Formula,Ecuaci�n,Stock,Sistem�tica,Tradicional
SnO,2Sn + O2 = 2SnO,Nomenclatura sistemática: monóxido de estaño,Nomenclatura stock: óxido de estaño (II),Nomenclatura tradicional: óxido estañoso

Rh(OH)2,N/A,Nomenclatura sistemática: dihidróxido de rodio,Nomenclatura stock: hidróxido de rodio (II),Nomenclatura tradicional: hidróxido hiporodioso
Re(OH)4,N/A,Nomenclatura sistemática: tetrahidróxido de renio,Nomenclatura stock: hidróxido de renio (IV),Tipo de compuesto: hidróxido
Pd(OH)4,N/A,Nomenclatura sistemática: tetrahidróxido de paladio,Nomenclatura stock: hidróxido de paladio (IV),Nomenclatura tradicional: hidróxido paládico
Mn(OH)3,N/A,Nomenclatura sistemática: trihidróxido de manganeso,Nomenclatura stock: hidróxido de manganeso (III),Nomenclatura tradicional: hidróxido mangánico
Ir(OH)4,N/A,Nomenclatura sistemática: tetrahidróxido de iridio,Nomenclatura stock: hidróxido de iridio (IV),Nomenclatura tradicional: hidróxido irídico
Os(OH)4,N/A,Nomenclatura sistemática: tetrahidróxido de osmio,Nomenclatura stock: hidróxido de osmio (IV),Tipo de compuesto: hidróxido

HClO,Nomenclatura sistemática: oxoclorato (I) de hidrógeno,Nomenclatura stock: ácido oxoclórico (I),Nomenclatura tradicional: ácido hipocloroso,Cl2O + H2O = 2HClO
H3PO4,Nomenclatura sistemática: tetraoxofosfato (V) de hidrógeno,Nomenclatura stock: ácido tetraoxofosfórico (V),Nomenclatura tradicional: ácido fosfórico,P4O10 + 6H2O = 4H3PO4
HNO2,Nomenclatura sistemática: dioxonitrato (III) de hidrógeno,Nomenclatura stock: ácido dioxonítrico (III),Nomenclatura tradicional: ácido nitroso,H2O + N2O3 = 2HNO2
H2CO3,Nomenclatura sistemática: trioxocarbonato (IV) de hidrógeno,Nomenclatura stock: ácido trioxocarbónico (IV),Nomenclatura tradicional: ácido carbónico,CO2 + H2O = H2CO3
H2SeO4,Nomenclatura sistemática: tetraoxoseleniato (VI) de hidrógeno,Nomenclatura stock: ácido tetraoxoselénico (VI),Nomenclatura tradicional: ácido selénico,N/A

HBO2,Nomenclatura sistemática: dioxoborato (III) de hidrógeno,Nomenclatura stock: ácido dioxobórico (III),Nomenclatura tradicional: ácido metabórico,N/A
H2CO3,Nomenclatura sistemática: trioxocarbonato (IV) de hidrógeno,Nomenclatura stock: ácido trioxocarbónico (IV),Nomenclatura tradicional: ácido carbónico,CO2 + H2O = H2CO3
HPO3,Nomenclatura sistemática: trioxofosfato (V) de hidrógeno,Nomenclatura stock: ácido trioxofosfórico (V),Nomenclatura tradicional: ácido metafosfórico,N/A
H2SO3,Nomenclatura sistemática: trioxosulfato (IV) de hidrógeno,Nomenclatura stock: ácido trioxosulfúrico (IV),Nomenclatura tradicional: ácido sulfuroso,SO2 + H2O = H2SO3
HBrO3,Nomenclatura sistemática: trioxobromato (V) de hidrógeno,Nomenclatura stock: ácido trioxobrómico (V),Nomenclatura tradicional: ácido brómico,N/A

HPO2,Nomenclatura sistemática: dioxofosfato (II) de hidrógeno,Nomenclatura stock: ácido dioxofosfórico (II),Nomenclatura tradicional: ácido metafosforoso,N/A
H4P2O7,Nomenclatura sistemática: heptaoxodifosfato (V) de hidrógeno,Nomenclatura stock: ácido heptaoxodifosfórico (V),Nomenclatura tradicional: ácido pirofosfórico,P4O10 + 4H2O = 2H4P2O7
H4SiO4,Nomenclatura sistemática: tetraoxosilicato (IV) de hidrógeno,Nomenclatura stock: ácido tetraoxosilícico (IV),Nomenclatura tradicional: ácido silícico,SiO2 + 2H2O = H4SiO4
H6Si2O7,Nomenclatura sistemática: heptaoxodisilicato (IV) de hidrógeno,Nomenclatura stock: ácido heptaoxodisilícico (IV),Nomenclatura tradicional: ácido disilícico,N/A
H2SiO3,Nomenclatura sistemática: trioxosilicato (IV) de hidrógeno,Nomenclatura stock: ácido trioxosilícico (IV),Nomenclatura tradicional: ácido metasilícico,SiO2 + H2O = H2SiO3

Fe(BrO3)3,Nomenclatura sistemática: tris[trioxobromato (V)] de hierro,Nomenclatura stock: bromato de hierro (III),Nomenclatura tradicional: bromato férrico,N/A
HNO2,Nomenclatura sistemática: dioxonitrato (III) de hidrógeno,Nomenclatura stock: ácido dioxonítrico (III),Nomenclatura tradicional: ácido nitroso,H2O + N2O3 = 2HNO2
H3PO3,Nomenclatura sistemática: trioxofosfato (III) de hidrógeno,Nomenclatura stock: ácido trioxofosfórico (III),Nomenclatura tradicional: ácido fosforoso,P4O6 + 6H2O = 4H3PO3

HNO3,Nomenclatura sistemática: trioxonitrato (V) de hidrógeno,Nomenclatura stock: ácido trioxonítrico (V),Nomenclatura tradicional: ácido nítrico,N2O5 + H2O = 2HNO3
HNO2,Nomenclatura sistemática: dioxonitrato (III) de hidrógeno,Nomenclatura stock: ácido dioxonítrico (III),Nomenclatura tradicional: ácido nitroso,H2O + N2O3 = 2HNO2
H2SO3,Nomenclatura sistemática: trioxosulfato (IV) de hidrógeno,Nomenclatura stock: ácido trioxosulfúrico (IV),Nomenclatura tradicional: ácido sulfuroso,SO2 + H2O = H2SO3
H2SO4,Nomenclatura sistemática: tetraoxosulfato (VI) de hidrógeno,Nomenclatura stock: ácido tetraoxosulfúrico (VI),Nomenclatura tradicional: ácido sulfúrico,SO3 + H2O = H2SO4
HClO4,Nomenclatura sistemática: tetraoxoclorato (VII) de hidrógeno,Nomenclatura stock: ácido tetraoxoclórico (VII),Nomenclatura tradicional: ácido perclórico,Cl2O7 + H2O = 2HClO4
H3PO4,Nomenclatura sistemática: tetraoxofosfato (V) de hidrógeno,Nomenclatura stock: ácido tetraoxofosfórico (V),Nomenclatura tradicional: ácido fosfórico,P4O10 + 6H2O = 4H3PO4

HClO,Nomenclatura sistemática: oxoclorato (I) de hidrógeno,Nomenclatura stock: ácido oxoclórico (I),Nomenclatura tradicional: ácido hipocloroso,Cl2O + H2O = 2HClO
H2SO4,Nomenclatura sistemática: tetraoxosulfato (VI) de hidrógeno,Nomenclatura stock: ácido tetraoxosulfúrico (VI),Nomenclatura tradicional: ácido sulfúrico,SO3 + H2O = H2SO4
